"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
529,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","八帖北町","東岡崎","23",44000000,"","","135",,"ほぼ長方形","9.3","115","平成30年","木造","住宅","住宅","東","市道",4.4,"近隣商業地域",80,300,"2018年第４四半期","",""
530,"宅地(土地)","住宅地","23202","愛知県","岡崎市","八帖北町","東岡崎","28",67000000,"330000","","680",99000,"長方形","7.0","","","","","","南","市道",6.0,"準工業地域",60,200,"2018年第２四半期","",""
531,"宅地(土地)","住宅地","23202","愛知県","岡崎市","八帖町","東岡崎","25",21000000,"500000","","140",150000,"長方形","9.5","","","","","住宅","西","市道",5.0,"準工業地域",60,200,"2018年第４四半期","",""
532,"宅地(土地)","住宅地","23202","愛知県","岡崎市","八帖南町","東岡崎","26",24000000,"420000","","190",130000,"長方形","10.4","","","","","住宅","南","市道",6.0,"第１種住居地域",60,200,"2018年第３四半期","",""
533,"宅地(土地)","住宅地","23202","愛知県","岡崎市","八帖南町","東岡崎","28",39000000,"440000","","290",130000,"長方形","14.4","","","","","","南","市道",6.0,"第１種住居地域",60,200,"2018年第２四半期","",""
534,"宅地(土地)","住宅地","23202","愛知県","岡崎市","八帖南町","東岡崎","28",20000000,"510000","","130",150000,"ほぼ長方形","12.5","","","","","住宅","東","市道",6.0,"第１種住居地域",60,200,"2018年第２四半期","",""
535,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","八帖南町","東岡崎","29",27000000,"","","135",,"袋地等","12.2","100","平成29年","木造","住宅","","北","市道",6.0,"第１種住居地域",60,200,"2018年第１四半期","",""
536,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","八帖南町","東岡崎","26",35000000,"","","155",,"ほぼ長方形","10.0","110","平成29年","木造","住宅","住宅","南","市道",4.0,"第１種住居地域",60,200,"2018年第１四半期","",""
537,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","羽根町","岡崎","26",31000000,"","","130",,"長方形","7.0","105","平成30年","木造","住宅","住宅","北","市道",5.5,"第１種住居地域",60,200,"2019年第１四半期","",""
538,"宅地(土地)","住宅地","23202","愛知県","岡崎市","羽根町","岡崎","10",21000000,"340000","","200",100000,"長方形","10.8","","","","","住宅","北","市道",5.0,"準工業地域",60,200,"2019年第１四半期","",""
539,"宅地(土地)","商業地","23202","愛知県","岡崎市","羽根町","岡崎","18",27000000,"500000","","180",150000,"ほぼ長方形","9.2","","","","","住宅","西","国道",30.0,"近隣商業地域",80,200,"2018年第４四半期","",""
540,"宅地(土地)","住宅地","23202","愛知県","岡崎市","羽根町","岡崎","5",10000000,"370000","","90",110000,"長方形","7.5","","","","","住宅","東","区画街路",8.0,"近隣商業地域",80,300,"2018年第４四半期","",""
541,"中古マンション等","","23202","愛知県","岡崎市","羽根町","岡崎","23",24000000,"","４ＬＤＫ","90",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2018年第３四半期","未改装",""
542,"宅地(土地)","住宅地","23202","愛知県","岡崎市","羽根町","岡崎","20",5100000,"350000","","50",110000,"長方形","2.0","","","","","その他","西","市道",10.0,"第１種住居地域",60,200,"2018年第２四半期","",""
543,"宅地(土地)","住宅地","23202","愛知県","岡崎市","羽根町","岡崎","19",28000000,"260000","","350",79000,"ほぼ正方形","18.5","","","","","","北西","市道",5.4,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
544,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","羽根町","岡崎","21",33000000,"","","180",,"ほぼ整形","14.0","110","平成28年","木造","住宅","住宅","西","市道",6.0,"第１種住居地域",60,200,"2018年第２四半期","",""
545,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","羽根町","岡崎","21",29000000,"","","210",,"袋地等","5.5","100","平成29年","木造","住宅","住宅","北","市道",5.5,"第１種住居地域",60,200,"2018年第１四半期","",""
546,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","羽根町","岡崎","21",32000000,"","","230",,"袋地等","5.5","110","平成29年","木造","住宅","住宅","北","市道",5.5,"第１種住居地域",60,200,"2018年第１四半期","",""
547,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","羽根町","岡崎","5",54000000,"","","125",,"ほぼ長方形","14.0","120","平成30年","木造","住宅","住宅","南","区画街路",6.0,"近隣商業地域",80,300,"2018年第１四半期","",""
548,"宅地(土地)","住宅地","23202","愛知県","岡崎市","羽根町","岡崎","19",15000000,"260000","","190",79000,"ほぼ長方形","11.0","","","","","","北西","市道",5.0,"第１種中高層住居専用地域",60,200,"2018年第１四半期","",""
549,"宅地(土地)","住宅地","23202","愛知県","岡崎市","羽根町","美合","28",12000000,"70000","","580",21000,"長方形","18.0","","","","","","北東","道路",6.0,"第１種低層住居専用地域",60,200,"2018年第２四半期","",""
550,"宅地(土地と建物)","商業地","23202","愛知県","岡崎市","羽根西","岡崎","6",34000000,"","","170",,"長方形","12.0","160","平成2年","軽量鉄骨造","住宅","その他","南東","県道",18.0,"準工業地域",60,200,"2019年第１四半期","",""
551,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","羽根西","岡崎","5",47000000,"","","280",,"不整形","17.2","210","昭和54年","鉄骨造","作業場、店舗","住宅","東","市道",6.0,"近隣商業地域",80,300,"2018年第２四半期","",""
552,"中古マンション等","","23202","愛知県","岡崎市","羽根西","岡崎","6",23000000,"","３ＬＤＫ","75",,"","","","平成17年","ＲＣ","","住宅","","",,"近隣商業地域",80,300,"2018年第２四半期","未改装",""
553,"宅地(土地)","住宅地","23202","愛知県","岡崎市","羽根西","岡崎","3",39000000,"640000","","200",190000,"不整形","17.0","","","","","住宅","南西","市道",12.0,"近隣商業地域",80,300,"2018年第１四半期","",""
554,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","針崎","岡崎","12",32000000,"","","90",,"長方形","6.1","115","平成30年","ＲＣ","住宅","住宅","南","市道",6.0,"準工業地域",60,200,"2019年第１四半期","",""
555,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","針崎","岡崎","13",49000000,"","","125",,"ほぼ長方形","7.8","115","平成31年","木造","住宅","","西","市道",6.0,"準工業地域",60,200,"2018年第１四半期","",""
556,"宅地(土地)","住宅地","23202","愛知県","岡崎市","針崎町","岡崎","20",48000000,"400000","","400",120000,"長方形","25.5","","","","","住宅","北","区画街路",6.0,"第１種住居地域",60,200,"2019年第１四半期","",""
557,"宅地(土地)","商業地","23202","愛知県","岡崎市","針崎町","岡崎","15",200000000,"560000","","1200",170000,"ほぼ整形","39.0","","","","","","北","区画街路",11.0,"第１種住居地域",60,200,"2018年第３四半期","",""
558,"宅地(土地)","住宅地","23202","愛知県","岡崎市","針崎町","岡崎","23",22000000,"220000","","330",65000,"ほぼ整形","22.0","","","","","","南","市道",2.0,"第１種住居地域",60,200,"2018年第１四半期","",""
559,"農地","","23202","愛知県","岡崎市","日影町","","",4100000,"","","720",,"","","","","","","","","",,"",,,"2018年第１四半期","",""
560,"農地","","23202","愛知県","岡崎市","日影町","","",1000000,"","","170",,"","","","","","","","","",,"",,,"2018年第１四半期","",""
561,"農地","","23202","愛知県","岡崎市","日影町","","",6300000,"","","1000",,"","","","","","","","","",,"",,,"2018年第１四半期","",""
562,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","東阿知和町","東岡崎","1H?1H30",35000000,"","","660",,"ほぼ整形","23.0","250","平成13年","木造","住宅","住宅","東","市道",6.0,"市街化調整区域",60,200,"2018年第１四半期","",""
