"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","23202","愛知県","岡崎市","青木町","東岡崎","1H?1H30",19000000,"330000","","190",100000,"袋地等","","","","","","その他","東","市道",7.0,"近隣商業地域",80,200,"2018年第４四半期","",""
2,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","青木町","東岡崎","1H?1H30",37000000,"","","120",,"長方形","8.5","105","平成30年","木造","住宅","住宅","南","市道",9.0,"第１種中高層住居専用地域",60,200,"2018年第４四半期","",""
3,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","青木町","東岡崎","1H?1H30",21000000,"","","175",,"ほぼ正方形","13.0","","","","","住宅","南","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第３四半期","",""
4,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","赤渋町","岡崎","25",19000000,"","","125",,"ほぼ正方形","11.5","100","昭和62年","木造","住宅","住宅","南西","市道",6.0,"第１種住居地域",60,200,"2019年第１四半期","",""
5,"宅地(土地)","住宅地","23202","愛知県","岡崎市","赤渋町","岡崎","30分?60分",17000000,"430000","","130",130000,"ほぼ整形","18.0","","","","","","北東","道路",3.0,"第１種住居地域",60,200,"2018年第４四半期","",""
6,"宅地(土地)","住宅地","23202","愛知県","岡崎市","赤渋町","岡崎","30分?60分",19000000,"120000","","520",36000,"長方形","31.5","","","","","","接面道路無","",,"第１種住居地域",60,200,"2018年第４四半期","",""
7,"宅地(土地)","住宅地","23202","愛知県","岡崎市","赤渋町","岡崎","30分?60分",84000000,"230000","","1200",70000,"長方形","31.5","","","","","","南西","市道",4.5,"第１種住居地域",60,200,"2018年第４四半期","",""
8,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","赤渋町","岡崎","28",38000000,"","","160",,"長方形","11.3","110","平成30年","木造","住宅","住宅","北西","市道",4.1,"第１種住居地域",60,200,"2018年第３四半期","",""
9,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","赤渋町","岡崎","30分?60分",32000000,"","","130",,"ほぼ長方形","19.5","100","平成29年","木造","住宅","住宅","南東","市道",6.5,"第１種住居地域",60,200,"2018年第１四半期","",""
10,"中古マンション等","","23202","愛知県","岡崎市","朝日町","東岡崎","18",5300000,"","４ＬＤＫ","75",,"","","","昭和60年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2018年第４四半期","未改装","調停・競売等"
11,"中古マンション等","","23202","愛知県","岡崎市","朝日町","東岡崎","15",20000000,"","３ＬＤＫ","70",,"","","","平成16年","ＳＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2018年第２四半期","未改装",""
12,"宅地(土地)","商業地","23202","愛知県","岡崎市","朝日町","東岡崎","20",37000000,"350000","","350",110000,"ほぼ整形","14.0","","","","","倉庫","南西","国道",24.0,"準工業地域",60,200,"2018年第１四半期","",""
13,"中古マンション等","","23202","愛知県","岡崎市","伊賀新町","東岡崎","30分?60分",11000000,"","３ＬＤＫ","70",,"","","","昭和63年","ＲＣ","","住宅","","",,"第１種低層住居専用地域",60,100,"2019年第１四半期","",""
14,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","伊賀新町","東岡崎","30分?60分",37000000,"","","135",,"不整形","7.9","110","平成29年","木造","住宅","住宅","北","市道",8.0,"第１種住居地域",60,200,"2018年第４四半期","",""
15,"宅地(土地)","住宅地","23202","愛知県","岡崎市","伊賀新町","東岡崎","30分?60分",21000000,"400000","","170",120000,"台形","7.5","","","","","その他","北","市道",6.0,"第１種低層住居専用地域",60,100,"2018年第４四半期","",""
16,"宅地(土地)","住宅地","23202","愛知県","岡崎市","伊賀新町","東岡崎","30分?60分",22000000,"540000","","135",160000,"長方形","7.1","","","","","住宅","南東","市道",6.0,"第１種住居地域",60,200,"2018年第４四半期","",""
17,"宅地(土地)","住宅地","23202","愛知県","岡崎市","伊賀新町","東岡崎","30分?60分",35000000,"420000","","270",130000,"ほぼ長方形","14.0","","","","","住宅","南東","市道",6.0,"第１種住居地域",60,200,"2018年第１四半期","",""
18,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","伊賀町","東岡崎","28",26000000,"","","110",,"不整形","6.0","95","平成30年","木造","住宅","住宅","東","市道",4.0,"近隣商業地域",80,200,"2018年第４四半期","",""
19,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","伊賀町","東岡崎","29",31000000,"","","130",,"ほぼ台形","12.0","95","平成30年","木造","住宅","住宅","南","市道",4.0,"準工業地域",60,200,"2018年第４四半期","",""
20,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","伊賀町","東岡崎","30分?60分",50000000,"","","160",,"ほぼ台形","11.0","","","","","住宅","南","市道",2.5,"準工業地域",60,200,"2018年第４四半期","",""
21,"宅地(土地と建物)","商業地","23202","愛知県","岡崎市","伊賀町","東岡崎","28",32000000,"","","160",,"不整形","19.5","105","平成30年","木造","住宅","住宅","南東","市道",3.6,"近隣商業地域",80,200,"2018年第３四半期","",""
22,"中古マンション等","","23202","愛知県","岡崎市","伊賀町","東岡崎","30分?60分",11000000,"","４ＬＤＫ","80",,"","","","平成8年","ＳＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2018年第３四半期","未改装",""
23,"宅地(土地)","住宅地","23202","愛知県","岡崎市","伊賀町","東岡崎","28",38000000,"160000","","780",49000,"不整形","23.0","","","","","住宅","南東","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
24,"宅地(土地)","住宅地","23202","愛知県","岡崎市","伊賀町","東岡崎","30分?60分",12000000,"500000","","75",150000,"ほぼ長方形","6.6","","","","","その他","南","市道",4.3,"準工業地域",60,200,"2018年第２四半期","",""
25,"宅地(土地)","住宅地","23202","愛知県","岡崎市","石神町","東岡崎","30分?60分",66000000,"500000","","430",150000,"長方形","19.1","","","","","住宅","東","市道",8.0,"第１種低層住居専用地域",60,100,"2018年第３四半期","",""
26,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",42000000,"","","180",,"長方形","7.6","120","平成30年","木造","住宅","住宅","北","市道",6.0,"準工業地域",60,200,"2019年第１四半期","",""
27,"宅地(土地)","住宅地","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",21000000,"400000","","175",120000,"長方形","12.0","","","","","事務所","南東","市道",6.0,"準工業地域",60,200,"2019年第１四半期","",""
28,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",58000000,"","","165",,"長方形","14.3","","","","","住宅","東","道路",6.0,"第１種中高層住居専用地域",60,200,"2018年第４四半期","",""
29,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",37000000,"","","165",,"長方形","16.0","105","平成30年","木造","住宅","住宅","南東","市道",6.0,"準工業地域",60,200,"2018年第４四半期","",""
30,"中古マンション等","","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",10000000,"","３ＬＤＫ","65",,"","","","平成3年","ＳＲＣ","","住宅","","",,"準工業地域",60,200,"2018年第４四半期","未改装",""
31,"中古マンション等","","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",11000000,"","３ＬＤＫ","80",,"","","","平成3年","ＳＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2018年第４四半期","未改装",""
32,"中古マンション等","","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",13000000,"","３ＬＤＫ","70",,"","","","平成3年","ＳＲＣ","","住宅","","",,"準工業地域",60,200,"2018年第２四半期","改装済",""
33,"中古マンション等","","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",13000000,"","３ＬＤＫ","65",,"","","","平成3年","ＳＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2018年第２四半期","改装済",""
34,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",24000000,"","","115",,"ほぼ長方形","6.8","100","平成29年","木造","住宅","住宅","西","市道",5.0,"第１種住居地域",60,500,"2018年第１四半期","",""
35,"宅地(土地)","住宅地","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",29000000,"430000","","220",130000,"不整形","14.0","","","","","店舗","南","市道",6.0,"準工業地域",60,200,"2018年第１四半期","",""
36,"宅地(土地)","住宅地","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",19000000,"520000","","120",160000,"不整形","10.3","","","","","","東","道路",8.0,"第１種住居地域",60,200,"2018年第１四半期","",""
37,"宅地(土地)","住宅地","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",20000000,"290000","","230",87000,"ほぼ整形","14.0","","","","","","北","市道",7.0,"第１種中高層住居専用地域",60,200,"2018年第１四半期","",""
38,"中古マンション等","","23202","愛知県","岡崎市","井田町","東岡崎","30分?60分",16000000,"","３ＬＤＫ","75",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2018年第１四半期","未改装",""
39,"宅地(土地と建物)","商業地","23202","愛知県","岡崎市","井田西町","東岡崎","30分?60分",38000000,"","","155",,"ほぼ長方形","9.0","100","平成31年","木造","住宅","住宅","西","市道",8.0,"近隣商業地域",80,200,"2019年第１四半期","",""
40,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","井田西町","東岡崎","30分?60分",33000000,"","","135",,"袋地等","8.5","100","平成30年","木造","住宅","住宅","北","市道",6.0,"工業地域",60,200,"2018年第３四半期","",""
41,"宅地(土地)","住宅地","23202","愛知県","岡崎市","板屋町","東岡崎","24",9200000,"360000","","85",110000,"ほぼ長方形","5.5","","","","","","南","市道",4.7,"商業地域",80,400,"2018年第４四半期","",""
42,"宅地(土地)","住宅地","23202","愛知県","岡崎市","板屋町","東岡崎","24",5400000,"200000","","90",61000,"ほぼ長方形","13.2","","","","","","西","市道",,"商業地域",80,400,"2018年第４四半期","",""
43,"宅地(土地)","住宅地","23202","愛知県","岡崎市","板屋町","東岡崎","23",13000000,"340000","","130",100000,"ほぼ長方形","8.0","","","","","その他","西","市道",5.0,"商業地域",80,400,"2018年第２四半期","",""
44,"農地","","23202","愛知県","岡崎市","板屋町","","",11000000,"","","630",,"","","","","","","","","",,"",,,"2019年第１四半期","",""
45,"農地","","23202","愛知県","岡崎市","板屋町","","",13000000,"","","790",,"","","","","","","","","",,"",,,"2019年第１四半期","",""
46,"農地","","23202","愛知県","岡崎市","板屋町","","",7400000,"","","440",,"","","","","","","","","",,"",,,"2019年第１四半期","",""
47,"農地","","23202","愛知県","岡崎市","板屋町","","",6600000,"","","390",,"","","","","","","","","",,"",,,"2019年第１四半期","",""
48,"農地","","23202","愛知県","岡崎市","板屋町","","",1800000,"","","115",,"","","","","","","","","",,"",,,"2019年第１四半期","",""
49,"農地","","23202","愛知県","岡崎市","板屋町","","",140000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2019年第１四半期","",""
50,"農地","","23202","愛知県","岡崎市","板屋町","","",11000000,"","","670",,"","","","","","","","","",,"",,,"2019年第１四半期","",""
51,"林地","","23202","愛知県","岡崎市","市場町","","",4000000,"","","330",,"","","","","","","","","",,"",,,"2019年第１四半期","",""
52,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","井内町","岡崎","18",28000000,"","","175",,"袋地等","4.0","115","平成20年","木造","住宅","住宅","東","市道",4.5,"第１種中高層住居専用地域",60,200,"2018年第１四半期","",""
53,"宅地(土地)","商業地","23202","愛知県","岡崎市","稲熊町","東岡崎","30分?60分",31000000,"340000","","300",100000,"ほぼ長方形","10.9","","","","","その他","北東","市道",19.0,"準住居地域",60,200,"2019年第１四半期","",""
54,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","稲熊町","東岡崎","30分?60分",27000000,"","","125",,"台形","9.7","100","平成28年","木造","住宅","住宅","南","道路",4.0,"第１種住居地域",60,200,"2019年第１四半期","",""
55,"宅地(土地)","商業地","23202","愛知県","岡崎市","稲熊町","東岡崎","30分?60分",97000000,"620000","","510",190000,"長方形","18.0","","","","","その他","南西","市道",19.0,"準住居地域",60,200,"2019年第１四半期","",""
56,"宅地(土地と建物)","商業地","23202","愛知県","岡崎市","稲熊町","東岡崎","30分?60分",97000000,"","","520",,"長方形","18.0","1100","昭和47年","ＲＣ","事務所、倉庫、店舗","その他","南西","市道",19.0,"準住居地域",60,200,"2019年第１四半期","",""
57,"中古マンション等","","23202","愛知県","岡崎市","稲熊町","東岡崎","30分?60分",13000000,"","４ＬＤＫ","80",,"","","","平成5年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2019年第１四半期","改装済",""
58,"宅地(土地)","住宅地","23202","愛知県","岡崎市","稲熊町","東岡崎","29",18000000,"340000","","175",100000,"長方形","7.5","","","","","住宅","北","道路",5.0,"第１種低層住居専用地域",60,100,"2018年第４四半期","",""
59,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","稲熊町","東岡崎","30分?60分",27000000,"","","110",,"ほぼ長方形","12.0","100","平成30年","木造","住宅","住宅","北西","市道",6.0,"第１種住居地域",60,200,"2018年第４四半期","",""
60,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","稲熊町","東岡崎","30分?60分",24000000,"","","105",,"長方形","9.0","95","平成30年","木造","住宅","住宅","南西","市道",4.0,"第１種住居地域",60,200,"2018年第４四半期","",""
61,"宅地(土地)","住宅地","23202","愛知県","岡崎市","稲熊町","東岡崎","23",21000000,"450000","","155",140000,"不整形","6.0","","","","","住宅","北東","市道",5.0,"第１種中高層住居専用地域",60,200,"2018年第４四半期","",""
62,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","稲熊町","東岡崎","24",40000000,"","","150",,"長方形","8.0","","平成31年","木造","住宅","住宅","北","市道",4.0,"第１種中高層住居専用地域",60,200,"2018年第４四半期","",""
63,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","稲熊町","東岡崎","28",30000000,"","","170",,"ほぼ長方形","15.0","115","平成14年","木造","住宅","住宅","南","道路",6.0,"第１種低層住居専用地域",60,100,"2018年第３四半期","",""
64,"宅地(土地)","住宅地","23202","愛知県","岡崎市","稲熊町","東岡崎","30分?60分",19000000,"370000","","170",110000,"ほぼ台形","11.0","","","","","住宅","東","市道",6.0,"第１種低層住居専用地域",60,100,"2018年第３四半期","",""
65,"宅地(土地)","住宅地","23202","愛知県","岡崎市","稲熊町","東岡崎","26",20000000,"190000","","330",58000,"ほぼ正方形","18.1","","","","","その他","北","市道",3.7,"第１種中高層住居専用地域",60,200,"2018年第３四半期","",""
66,"宅地(土地)","住宅地","23202","愛知県","岡崎市","稲熊町","東岡崎","21",22000000,"300000","","240",90000,"ほぼ長方形","8.5","","","","","住宅","西","市道",8.0,"第１種中高層住居専用地域",60,200,"2018年第３四半期","",""
67,"宅地(土地)","住宅地","23202","愛知県","岡崎市","稲熊町","東岡崎","26",10000000,"160000","","210",48000,"長方形","13.5","","","","","住宅","南西","市道",3.7,"第１種中高層住居専用地域",60,200,"2018年第３四半期","",""
68,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","稲熊町","東岡崎","30分?60分",55000000,"","","160",,"ほぼ長方形","11.0","90","","","住宅","住宅","北","市道",6.0,"第１種低層住居専用地域",60,100,"2018年第３四半期","",""
69,"宅地(土地)","住宅地","23202","愛知県","岡崎市","稲熊町","東岡崎","23",24000000,"470000","","165",140000,"不整形","12.6","","","","","住宅","北西","県道",10.5,"第１種住居地域",60,200,"2018年第２四半期","",""
70,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","稲熊町","東岡崎","20",34000000,"","","130",,"不整形","15.7","110","平成30年","木造","住宅","住宅","南","市道",4.3,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
71,"宅地(土地)","住宅地","23202","愛知県","岡崎市","稲熊町","東岡崎","28",40000000,"300000","","440",91000,"ほぼ長方形","25.5","","","","","","南西","市道",4.0,"準住居地域",60,200,"2018年第２四半期","",""
72,"宅地(土地)","住宅地","23202","愛知県","岡崎市","稲熊町","東岡崎","29",25000000,"480000","","175",140000,"長方形","8.5","","","","","住宅","南","道路",5.0,"第１種低層住居専用地域",60,100,"2018年第２四半期","",""
73,"中古マンション等","","23202","愛知県","岡崎市","稲熊町","東岡崎","21",24000000,"","２ＬＤＫ","65",,"","","","平成2年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2018年第２四半期","改装済",""
74,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","稲熊町","東岡崎","21",31000000,"","","150",,"台形","8.0","105","平成30年","木造","住宅","住宅","北","市道",3.4,"第１種中高層住居専用地域",60,200,"2018年第１四半期","",""
75,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","井ノ口新町","東岡崎","1H?1H30",36000000,"","","125",,"長方形","5.5","105","平成30年","木造","住宅","住宅","南","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第３四半期","",""
76,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","井ノ口新町","東岡崎","1H?1H30",40000000,"","","155",,"長方形","6.5","100","平成30年","木造","","住宅","南","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第１四半期","",""
77,"宅地(土地)","住宅地","23202","愛知県","岡崎市","岩津町","東岡崎","1H?1H30",30000000,"50000","","2000㎡以上",15000,"不整形","50.0m以上","","","","","住宅","北","市道",6.0,"第１種住居地域",60,200,"2019年第１四半期","",""
78,"宅地(土地)","住宅地","23202","愛知県","岡崎市","岩津町","東岡崎","1H?1H30",20000000,"180000","","360",56000,"不整形","10.0","","","","","","接面道路無","",,"準工業地域",60,200,"2018年第４四半期","",""
79,"宅地(土地)","住宅地","23202","愛知県","岡崎市","岩津町","東岡崎","1H?1H30",4900000,"370000","","45",110000,"不整形","","","","","","住宅","北東","市道",12.5,"商業地域",80,400,"2018年第４四半期","",""
80,"宅地(土地)","住宅地","23202","愛知県","岡崎市","岩津町","東岡崎","1H?1H30",15000000,"370000","","135",110000,"不整形","9.4","","","","","住宅","北東","市道",12.5,"商業地域",80,400,"2018年第４四半期","",""
81,"宅地(土地と建物)","商業地","23202","愛知県","岡崎市","岩津町","東岡崎","1H?1H30",89000000,"","","1100",,"不整形","26.5","60","","鉄骨造","事務所","","東","市道",12.0,"第１種住居地域",60,200,"2018年第４四半期","",""
82,"宅地(土地)","住宅地","23202","愛知県","岡崎市","岩津町","東岡崎","1H?1H30",11000000,"110000","","330",33000,"不整形","50.0m以上","","","","","その他","北","市道",6.0,"第１種住居地域",60,200,"2018年第２四半期","",""
83,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","上地","岡崎","30分?60分",25000000,"","","220",,"長方形","20.8","95","昭和59年","木造","住宅","その他","北東","市道",6.0,"第１種住居地域",60,200,"2019年第１四半期","",""
84,"宅地(土地)","住宅地","23202","愛知県","岡崎市","上地","岡崎","30分?60分",20000000,"450000","","145",140000,"長方形","8.0","","","","","住宅","北西","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第４四半期","",""
85,"宅地(土地)","商業地","23202","愛知県","岡崎市","上地","岡崎","29",24000000,"470000","","170",140000,"ほぼ長方形","7.2","","","","","住宅","南","市道",12.0,"第２種中高層住居専用地域",60,200,"2018年第４四半期","",""
86,"宅地(土地)","住宅地","23202","愛知県","岡崎市","上地","岡崎","30分?60分",25000000,"410000","","210",120000,"不整形","27.0","","","","","住宅","南","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第４四半期","",""
87,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","上地","岡崎","29",34000000,"","","110",,"長方形","5.5","95","平成31年","木造","住宅","住宅","北","市道",6.0,"第１種住居地域",60,200,"2018年第４四半期","",""
88,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","上地","岡崎","30分?60分",36000000,"","","110",,"長方形","5.5","115","平成29年","木造","住宅","住宅","北西","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第３四半期","",""
89,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","上地","岡崎","29",40000000,"","","135",,"長方形","6.0","100","平成29年","木造","住宅","住宅","南東","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第３四半期","",""
90,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","上地","岡崎","30分?60分",50000000,"","","180",,"長方形","7.0","115","平成30年","軽量鉄骨造","住宅","","北西","市道",8.0,"第１種中高層住居専用地域",60,200,"2018年第３四半期","",""
91,"宅地(土地)","住宅地","23202","愛知県","岡崎市","上地","岡崎","29",44000000,"460000","","320",140000,"ほぼ長方形","20.0","","","","","","南西","市道",8.0,"第１種住居地域",60,200,"2018年第３四半期","",""
92,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","上地","岡崎","30分?60分",34000000,"","","110",,"長方形","5.5","90","平成29年","木造","住宅","住宅","北西","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第３四半期","",""
93,"宅地(土地)","住宅地","23202","愛知県","岡崎市","上地","岡崎","30分?60分",49000000,"640000","","250",190000,"ほぼ整形","20.5","","","","","住宅","北","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第３四半期","",""
94,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","上地","岡崎","30分?60分",33000000,"","","115",,"不整形","16.5","95","平成30年","木造","住宅","","南東","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
95,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","上地","岡崎","30分?60分",39000000,"","","145",,"長方形","7.2","135","平成29年","木造","住宅","住宅","南東","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
96,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","上地","岡崎","30分?60分",32000000,"","","100",,"ほぼ長方形","7.0","95","平成30年","木造","","住宅","南西","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
97,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","上地","岡崎","30分?60分",32000000,"","","110",,"台形","17.7","95","平成30年","木造","住宅","住宅","西","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
98,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","上地","岡崎","30分?60分",39000000,"","","115",,"長方形","5.7","115","平成29年","木造","住宅","住宅","北西","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
99,"宅地(土地)","住宅地","23202","愛知県","岡崎市","上地","岡崎","30分?60分",18000000,"360000","","160",110000,"ほぼ長方形","7.5","","","","","住宅","南東","市道",8.0,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
100,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","上地","岡崎","30分?60分",39000000,"","","175",,"不整形","3.0","120","平成30年","木造","住宅","住宅","南東","市道",9.0,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
101,"宅地(土地)","住宅地","23202","愛知県","岡崎市","上地","岡崎","30分?60分",28000000,"260000","","360",78000,"袋地等","","","","","","","南東","市道",8.0,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
102,"宅地(土地)","住宅地","23202","愛知県","岡崎市","上地","岡崎","30分?60分",7200000,"350000","","70",110000,"ほぼ長方形","","","","","","住宅","南東","市道",8.0,"第１種中高層住居専用地域",60,200,"2018年第２四半期","",""
103,"宅地(土地)","住宅地","23202","愛知県","岡崎市","上地","岡崎","30分?60分",18000000,"420000","","145",130000,"ほぼ長方形","14.5","","","","","","南東","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第１四半期","",""
104,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","上地","岡崎","24",34000000,"","","180",,"ほぼ長方形","12.1","120","平成20年","木造","住宅","住宅","南東","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第１四半期","",""
105,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","上地","岡崎","30分?60分",52000000,"","","140",,"長方形","8.3","110","平成29年","軽量鉄骨造","住宅","住宅","南東","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第１四半期","",""
106,"宅地(土地)","住宅地","23202","愛知県","岡崎市","上地","岡崎","29",22000000,"520000","","140",160000,"長方形","6.5","","","","","住宅","南東","市道",6.0,"第１種中高層住居専用地域",60,200,"2018年第１四半期","",""
107,"宅地(土地)","住宅地","23202","愛知県","岡崎市","上地町","相見","28",2400000,"76000","","105",23000,"不整形","1.8","","","","","その他","接面道路無","",,"第１種住居地域",60,200,"2018年第１四半期","",""
108,"宅地(土地)","住宅地","23202","愛知県","岡崎市","上地町","岡崎","30分?60分",11000000,"130000","","270",38000,"袋地等","","","","","","住宅","西","市道",4.3,"市街化調整区域",60,200,"2018年第４四半期","",""
109,"宅地(土地)","住宅地","23202","愛知県","岡崎市","宇頭町","宇頭","14",50000000,"200000","","820",61000,"ほぼ長方形","","","","","","倉庫","北東","道路",3.0,"市街化調整区域",60,200,"2019年第１四半期","",""
110,"中古マンション等","","23202","愛知県","岡崎市","宇頭町","宇頭","1",19000000,"","３ＬＤＫ","105",,"","","","平成11年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2018年第４四半期","未改装",""
111,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","宇頭町","宇頭","7",39000000,"","","125",,"ほぼ長方形","13.0","120","平成30年","木造","","住宅","西","道路",1.8,"第１種住居地域",60,200,"2018年第３四半期","",""
112,"宅地(土地と建物)","商業地","23202","愛知県","岡崎市","宇頭町","宇頭","10",48000000,"","","370",,"長方形","21.7","100","昭和50年","鉄骨造","店舗","その他","南西","国道",25.0,"準工業地域",60,200,"2018年第３四半期","",""
113,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","宇頭町","宇頭","7",38000000,"","","125",,"ほぼ正方形","4.0","115","平成30年","木造","住宅","住宅","北","市道",6.0,"第１種住居地域",60,200,"2018年第２四半期","",""
114,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","宇頭町","宇頭","5",32000000,"","","100",,"長方形","6.5","90","平成29年","木造","住宅","住宅","北東","市道",7.5,"第１種住居地域",60,200,"2018年第１四半期","",""
115,"宅地(土地)","宅地見込地","23202","愛知県","岡崎市","宇頭南町","宇頭","9",16000000,"390000","","135",120000,"長方形","7.0","","","","","","北東","市道",6.0,"第１種住居地域",60,200,"2018年第３四半期","",""
116,"宅地(土地)","住宅地","23202","愛知県","岡崎市","梅園町","東岡崎","20",39000000,"470000","","270",140000,"長方形","15.5","","","","","住宅","北東","市道",4.5,"第１種住居地域",60,200,"2019年第１四半期","",""
117,"宅地(土地と建物)","商業地","23202","愛知県","岡崎市","梅園町","東岡崎","13",44000000,"","","125",,"不整形","13.6","110","平成30年","木造","住宅","住宅","南","市道",11.0,"第１種住居地域",60,200,"2018年第４四半期","",""
118,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","梅園町","東岡崎","18",15000000,"","","140",,"ほぼ長方形","21.0","60","","木造","住宅","住宅","東","市道",6.0,"第１種住居地域",60,200,"2018年第３四半期","",""
119,"宅地(土地)","住宅地","23202","愛知県","岡崎市","生平町","名電山中","1H?1H30",2200000,"39000","","190",12000,"不整形","7.0","","","","","その他","東","道路",2.3,"市街化調整区域",,,"2019年第１四半期","",""
120,"宅地(土地と建物)","住宅地","23202","愛知県","岡崎市","生平町","名電山中","1H?1H30",26000000,"","","380",,"ほぼ台形","18.0","240","平成27年","木造","住宅、その他","住宅","西","市道",16.1,"市街化調整区域",60,200,"2018年第４四半期","",""
